ID;Min;Max;Up;Down
1;590;920;400;-400
2;560;1500;1310;-1310
3;1120;2410;1560;-1560
4;510;1160;1090;-1090
5;1020;2000;1120;-1120
6;850;1780;970;-960
7;840;1790;1700;-1700
8;1070;2270;990;-1510
9;1380;2240;1000;-1000
10;1070;2730;1920;-1930
11;680;1950;1660;-1660
12;590;1710;1360;-1360
13;520;1080;720;-720
14;1040;2210;1490;-1490
15;850;2580;1170;-2340
16;590;2030;1000;-2320
17;620;1670;1740;-1730
18;800;2270;720;-1930
19;1010;1730;1310;-1310
20;970;1610;1210;-1210
21;960;2210;1600;-2540
22;1190;2240;590;-1400
23;1020;2060;1770;-2500
24;760;2060;1590;-2070
25;590;1190;310;-730
26;590;1470;770;-1190
27;590;1960;170;-1540
28;880;1540;960;-960
29;620;1450;1390;-1390
30;780;1380;850;-850
31;640;1810;1760;-1760
32;570;1610;1350;-1630
33;590;2140;2330;-2350
34;580;1740;1540;-1540
35;640;1640;1940;-1930
36;580;860;1000;-1000
37;940;2070;1650;-1650
38;990;1830;950;-920
39;940;2570;2230;-2220
40;710;2490;780;-2510
41;1950;2010;10;-80
42;970;2020;580;-1620
43;660;1500;1320;-1320
44;1070;2240;1800;-1800
45;580;2240;3250;-3540
46;1360;2210;1120;-1110
47;810;1770;1680;-1660
48;910;2190;2030;-2030
49;680;2210;1740;-2970
50;990;2240;1510;-1560
51;1020;1490;640;-630
52;990;1490;790;-790
53;1030;1810;1030;-1020
54;1230;2140;1940;-1940
55;1310;2440;1450;-1450
56;1500;2680;1520;-1520
57;1100;1850;1020;-1020
58;680;2510;2510;-2510
59;980;2090;1760;-1770
61;1100;2310;1700;-1700
62;630;940;440;-440
63;950;2700;1890;-2300
64;600;1060;710;-1110
65;990;1770;890;-880
66;980;2330;2010;-2010
67;990;1800;1490;-1490
68;590;1050;880;-870
69;580;860;360;-360
70;580;840;420;-420
71;590;1100;950;-950
72;580;1230;960;-960
73;940;1500;810;-810
74;780;2230;2560;-2560
75;960;1980;1040;-1570
76;530;2100;2140;-2120
77;600;1340;1340;-1340
78;560;1290;1350;-1350
79;780;1650;1280;-1280
80;590;2060;370;-1830
81;510;910;560;-560
82;1110;1750;1440;-1440
83;1150;2330;1750;-1750
84;1040;1620;870;-880
85;670;1590;1390;-1390
86;640;1490;1320;-1320
87;460;1360;1280;-1280
88;600;1200;910;-910
89;590;1380;1410;-1430
90;530;1400;1500;-1500
91;500;780;640;-640
92;860;1260;30;-430
93;680;1790;890;-1900
94;580;1500;990;-1720
95;570;910;1100;-1110
96;940;1400;560;-560
97;630;890;640;-640
98;640;1460;1400;-1410
99;760;1530;1350;-1350
100;660;1670;290;-1300
101;1040;1660;890;-890
102;660;1750;430;-1430
103;660;2090;610;-1750
104;1670;2370;860;-930
105;590;2250;1790;-2190
106;620;1510;2550;-2530
107;620;1510;1540;-1520
108;940;1560;570;-1190
109;880;1500;910;-920
110;680;1750;2600;-2600
111;610;2070;440;-1890
112;1070;2310;2100;-2350
113;590;1250;110;-770
114;1670;2580;1270;-1600
115;600;2130;2210;-3210
116;1540;2780;1690;-2140
117;630;1940;860;-1880
118;980;1870;2340;-2340
119;1350;1980;1230;-1230
120;1360;2490;2420;-3230
121;890;1540;950;-950
122;660;1080;800;-1160
123;1090;2050;1490;-1490
124;1190;2180;1430;-1430
125;1010;2480;1590;-2230
126;1250;2380;1760;-2300
127;830;2360;2680;-2690
128;860;2770;2840;-3350
129;2020;2610;920;-960
130;2200;2300;90;-190
131;1070;2200;1510;-2650
132;960;1870;670;-1320
133;790;1390;240;-800
134;810;1450;420;-1010
135;520;1650;1940;-1940
136;1710;1970;110;-280
137;1290;1750;20;-480
138;500;1410;1880;-1880
140;1350;2330;1320;-1840
141;490;1460;1720;-1720
142;570;1460;1790;-1790
143;560;1970;2010;-2400
144;630;2500;1020;-2890
145;760;1790;780;-1720
146;680;790;150;-240
147;840;1860;2510;-2510
148;780;2010;500;-1710
149;580;870;510;-790
151;700;1430;1730;-1730
152;690;990;110;-410
153;700;1430;1560;-1560
154;630;1030;920;-1140
155;740;1160;170;-580
156;1050;1640;60;-650
157;1060;1260;30;-220
158;1390;2110;20;-740
159;1980;2110;10;-130
160;1890;2110;10;-220
161;1840;2170;20;-340
162;960;1980;920;-1820
163;930;1480;1140;-1140
164;930;1410;680;-680
165;950;1610;1240;-1240
166;580;1110;1870;-1870
167;520;1950;2110;-2110
168;1900;2130;160;-300
169;960;2120;2260;-2260
170;930;1840;2480;-2480
171;920;1810;610;-1050
172;530;1670;3700;-4400
173;940;1800;2890;-2630
174;940;2390;2270;-2700
175;660;1060;1960;-1960
Gesamtergebnis;460;2780;460;2780
